doc_std_name;NumberOfPatentApplications
HENKEL IP & HOLDING GMBH;2045
PENG YAN;2045
IMAMURA DAICHI;2045
WATANABE TSUTOMU;2045
SEMICONDUCTOR MFG INT SHANGHAI CORP;2045
SONG BIN;2044
PUSAN NAT UNIV IND COOP FOUND;2044
CHI MEI OPTOELECTRONICS CORP;2044
LUO MING;2043
ROE DONALD CARROLL;2042
WANG HONGLI;2042
YANG HAI;2042
TELIA AB;2042
NAKAMURA KOICHI;2042
KIM JAE HO;2041
WEIDMUELLER INTERFACE;2041
HARA KENJI;2041
SATO TETSUYA;2041
LIU NAN;2040
WALKER JAY S;2039
KOREA FOOD RES INST;2039
ZHOU JIANPING;2039
LIU YANJUN;2039
FENG CHEN;2038
UNIV MIAMI;2038
LIU CHONG;2038
KOBAYASHI SHINICHI;2038
HOU JUN;2038
WANG XINHUA;2037
INT MINERALS & CHEM CORP;2037
GAO YUN;2037
GRIESHABER VEGA KG;2037
YAN HUA;2037
KUBO TAKASHI;2036
MICROJET TECHNOLOGY CO LTD;2036
ZHOU NING;2036
ARAI TAKASHI;2036
UNIROYAL CHEM CO INC;2036
LI CHUANG;2035
UNIV BINZHOU;2035
DEUTSCHE POST AG;2034
WANG CAN;2034
MARTIN MARIETTA CORP;2034
LEE JUN HO;2034
DONGFENG COMMERCIAL VEHICLE CO LTD;2034
BUDD EDWARD G MFG CO;2034
ETH ZUERICH;2034
CHEN JIANXIN;2033
GTE LABORATORIES INC;2033
KUBO HIROSHI;2032
HAN CHAO;2032
CHEN YONGJUN;2031
LIN YU;2031
CHENG CHENG;2031
YUAN XIN;2031
ALNYLAM PHARMACEUTICALS INC;2031
QIN FENG;2031
TANAKA MASARU;2030
ZHUHAI GREE REFRIGERATION TECHNOLOGY CT ENERGY SAVING & ENVIRONMENTAL PROT CO LTD;2030
UNIV DONGGUK IND ACAD COOP;2030
ALLEN BRADLEY CO;2030
TAKAHASHI HIDEO;2030
SYNTEX CORP;2030
YAMAZAKI TAKESHI;2029
PIOLAX INC;2029
UNIV GANSU AGRICULTURAL;2029
TANAKA KAZUO;2029
WANG WEIJUN;2028
HIGUCHI KENICHI;2028
SOUTHWEST RES INST;2028
ZHANG WENBO;2027
KO JUNG-WAN;2027
MARCONI GEC LTD;2027
TERAOKA SEIKO KK;2027
SEARETE LLC;2026
SATO YOSHIO;2026
UCHINO KATSUHIDE;2026
HYUNDAI AUTRON CO LTD;2026
CHINA INST WATER RESOURCES & HYDROPOWER RES;2026
USINOR;2025
HOECHST MARION ROUSSEL INC;2025
WATANABE TORU;2025
VOLVO CAR CORP;2025
CROWN PACKAGING TECHNOLOGY INC;2025
CHEN SHI;2024
WANG YIFAN;2023
CHEN HONGBO;2023
WAERTSILAE FINLAND OY;2023
SASAKI TAKESHI;2023
STABILUS GMBH;2023
CHEN HU;2022
LEVER BROTHERS LTD;2022
WANG ZHIPING;2022
CHEN CHUN;2021
ISHIDA TAKASHI;2021
HUANG KUN;2021
KIM DONG WOOK;2020
HOLLANDSE SIGNAALAPPARATEN BV;2020
TAKAHASHI KOICHI;2020
GUO YANG;2020
YU HUA;2020
BATTELLE DEVELOPMENT CORP;2019
WU XIAOFENG;2019
KURASHIKI BOSEKI KK;2019
JUNGHEINRICH AG;2019
KOBAYASHI SHINJI;2019
MATSUMOTO SATOSHI;2018
GUO FEI;2018
SATO YOSHINORI;2017
HUANG QI;2017
ISHIDA ISAO;2017
SANKI ENG CO LTD;2016
CHAUSSON USINES SA;2015
WEATHERFORD TECH HOLDINGS LLC;2015
ZHOU XU;2015
HGST NETHERLANDS BV;2014
SUMITOMO FORESTRY;2014
ZHANG GUANJING;2014
WEI YANG;2013
GAO WEN;2013
AMF INC;2013
KIM DONG JIN;2012
LIU HAN;2012
CUI YAN;2012
DU HUI;2012
YU CHEN-HUA;2012
TARGET BRANDS INC;2011
YAN HAO;2011
XU LU;2011
WATANABE TOSHIAKI;2011
ZHU DAN;2011
DIRECTV GROUP INC;2011
LI LIJUN;2011
LIU XIAOYU;2011
YAMADA MAKOTO;2010
UNIV DALIAN NATIONALITIES;2010
MITSUBISHI AUTO ENG;2010
WANG HONGMEI;2010
CANCER REC TECH LTD;2009
YANG KANG;2008
LI DA;2008
AHN JOON KUI;2008
NISHIKAWA HIROSHI;2008
DENTSPLY INT INC;2008
SHANGHAI RES INST PETROCHEMICAL TECHNOLOGY SINOPEC;2007
MURPHY ANDREW J;2007
INST COMPUTING TECH CN ACADEMY;2007
KOREA RES INST CHEMICAL TECH;2007
ZHANG WEIJUN;2007
FENG QINGFENG;2007
GOTO MASAHIRO;2007
YANG XIAOHUI;2006
LIU XIAOBO;2006
KATO SHINICHI;2006
WANG JIAWEI;2005
CNOOC ENERGY TECH & SERV LTD;2005
KEIPER GMBH & CO KG;2005
SEIKAGAKU KOGYO CO LTD;2005
HOOKER CHEMICALS PLASTICS CORP;2005
ECHOSTAR TECHNOLOGIES LLC;2005
MANNESMANN SACHS AG;2005
KOREA RES INST OF STANDARDS;2004
TOCHIGI FUJI SANGYO KK;2004
CHEN XIAOHUA;2004
LIU DAWEI;2004
XIAO BIN;2004
SAPPORO BREWERIES;2004
LIU HAIJUN;2003
HOLSTEIN & KAPPERT MASCHF;2003
CHEN HAIFENG;2003
ZHUHAI GREE INTELLIGENT EQUIPMENT CO LTD;2003
YANG LE;2003
PACCAR INC;2003
ELECTRIC POWER RES INST CO LTD CSG;2003
FOXBORO CO;2002
LEGO AS;2002
ARAMCO SERVICES CO;2002
L LIVERMORE NAT SECURITY LLC;2002
YAMAGUCHI SEIJI;2001
WADA HIROSHI;2001
YAMAMOTO MASAKI;2000
REN YI;2000
FUKUDA HIROSHI;2000
ELC MAN LLC;2000
TAIYO INK MFG CO LTD;2000
SATO HIDEKI;2000
WANG YIMING;1999
LI GUOPING;1999
CHEN WEIWEI;1999
BOLIDEN AB;1999
TAKUMA KK;1999
SUZUKI NOBUYUKI;1998
ELECTRO SCIENT IND INC;1998
SHENYANG AIRCRAFT CORP;1998
LE T I IM LENSOVETA;1998
KABELMETAL ELECTRO GMBH;1997
HUANG JIANHUA;1997
WU XU;1997
KRUPP FRIED GRUSONWERK AG;1997
BASELL POLIOLEFINE SRL;1996
YU JIANG;1996
MYHRVOLD NATHAN P;1996
JSP CORP;1996
SEITZ THOMAS;1996
ZHEJIANG GEELY AUTOMOBILE RES INST CO LTD;1995
TAKEMURA YASUHIKO;1995
UNIV XIAN POLYTECHNIC;1994
TOMTOM INT BV;1994
AQUITAINE PETROLE;1994
DEERING MILLIKEN RES CORP;1994
COGEMA;1994
KATO KOICHI;1993
XIAO JIAN;1993
BEIJING GOLDWIND SCIENCE & CREATION WINDPOWER EQUIPMENT CO LTD;1993
QIN JIAN;1992
XIAMEN TIANMA MICRO ELECTRONICS CO LTD;1992
HU FENG;1992
KAWAGUCHI MASAHIRO;1992
ISHIKAWA AKIRA;1991
LI LE;1991
JIANG SHAN;1991
WANG JIANHUI;1991
RHEON AUTOMATIC MACHINERY CO;1991
NAT LEAD CO;1990
TANAKA YASUO;1990
SHEN TAO;1990
ASML HOLDING NV;1990
MIRAI IND;1989
MEADWESTVACO CORP;1989
KIMURA TOMOHIRO;1989
TANAKA HITOSHI;1989
CABOT MICROELECTRONICS CORP;1988
CHINESE ACAD INST AUTOMATION;1988
KOBELCO CONSTR MACHINERY LTD;1988
CHEN HONGYU;1988
ITO YOSHIHIRO;1988
JOHNSON & JOHNSON VISION PROD;1988
UNDERWOOD TYPEWRITER CO;1988
TANAKA TORU;1988
ZHOU YUE;1988
HAN LI;1987
WERNER & PFLEIDERER;1987
GAO MIN;1987
DEUTSCHE FORSCH LUFT RAUMFAHRT;1987
FUKUDA TAKESHI;1987
ZHOU TING;1987
DUNLOP CO LTD;1987
MA YI;1986
YU MIAO;1986
TSUKISHIMA KIKAI CO;1986
XU QI;1985
SYNAPTICS INC;1985
WANG XIAOBING;1985
GUO YING;1985
NITTO KOHKI CO;1985
ALTEK CORP;1984
AOKI HIROSHI;1984
TAITO CORP;1984
HIWIN TECH CORP;1983
QUANTUM CORP;1983
WANG HAIYANG;1983
国际商业机器公司;1983
TELECOMMUNICATIONS SA;1982
XIAO FEI;1982
LIU MEI;1981
ＴＯＴＯ株式会社;1981
SUZUKI YUSUKE;1980
TAKAHASHI TAKASHI;1980
TAKAHASHI ISAO;1980
SCOTT PAPER CO;1980
SECOM CO LTD;1979
TAKARA CO LTD;1979
YANG XIAOJUN;1979
ORIGIN ELECTRIC;1978
UNIV KUBANSK;1978
ZHANG XIAOMIN;1977
JOHNSON & JOHNSON CONSUMER INC;1977
TANITA SEISAKUSHO KK;1976
LI HAIJUN;1976
STATE GRID JIANGSU ELECTRIC POWER CO LTD;1976
TOKYU KENSETSU KK;1976
NISHIMURA HIROSHI;1975
YAMADA SATOSHI;1975
AMERICAN STERILIZER CO;1975
HUANG ZHIGANG;1974
OHI SEISAKUSHO CO LTD;1974
POWER INTEGRATIONS INC;1974
HISPANO SUIZA SA;1974
SUZUKI TOSHIHIRO;1974
JUSUNG ENG CO LTD;1974
LEE SUNG HO;1974
GE HEALTHCARE LTD;1974
CHEN SI;1973
NAKAMURA TETSUYA;1973
UNIV OHIO STATE RES FOUND;1973
UNIV KEIO;1972
CHINA NAT HEAVY MACH RES INST;1972
WU YUN;1972
CAPITAL FORMATION INC;1972
HAN JIAN;1971
WANG PENGCHENG;1971
KYOWA HAKKO KIRIN CO LTD;1970
SUMITOMO PRECISION PROD CO;1970
WANG JINHUA;1970
SAAB SCANIA AB;1970
MOSAID TECHNOLOGIES INC;1969
CHICAGO PNEUMATIC TOOL CO;1969
SUZUKI MASANORI;1968
WANG LIWEI;1968
TOSHIBA ELECTRONIC ENG;1968
LUO YU;1968
ZF LENKSYSTEME GMBH;1968
WEI XING;1967
XINXING DUCTILE IRON PIPES CO;1967
HU LIANG;1967
XU HAIBO;1967
POWER JETS RES & DEV LTD;1967
HIMMELSBACH FRANK;1967
SEMPERIT AG;1966
STC PLC;1965
UNIV ANHUI SCIENCE & TECH;1965
CHEN LIHUA;1965
LYU WEI;1964
KOBAYASHI MASAYUKI;1964
ORION YHTYMAE OY;1963
LI WEIGUO;1963
YOKOGAWA ELECTRIC WORKS LTD;1962
HUANG LING;1962
PENG PENG;1962
XU XIAOHUA;1962
GAO RUI;1962
MUELLER THOMAS;1962
FAHR AG MASCHF;1962
ZHU PENG;1961
YUAN HAO;1961
DENG TAO;1961
SHI YING;1961
UNIV LINYI;1960
SCHERICO LTD;1960
NITTO SEIKO KK;1960
ENDO HIROSHI;1959
UNIV GUANGDONG OCEAN;1959
TAKEUCHI MASAHIRO;1959
SOCONY VACUUM OIL CO INC;1959
MERCK FROSST CANADA INC;1959
INFINEUM INT LTD;1958
DU BIN;1958
HETTICH PAUL GMBH & CO KG;1957
EIDAI CO LTD;1957
KOBAYASHI HIROAKI;1957
GULF OIL CORP;1956
ISRAEL STATE;1956
ISHIDA HIROSHI;1956
ZHOU LING;1956
DU PONT CANADA;1955
LIU ZHONG;1955
CORIXA CORP;1955
ZHANG GE;1955
MEIJI CO LTD;1955
WOLF GMBH RICHARD;1955
JOY MFG CO;1954
TELEDYNE IND;1954
XU JIANFENG;1954
ZHANG XIAOYONG;1954
WANG YULONG;1954
URALSKY POLITEKHN INST;1953
STATE GRID TIANJIN ELECTRIC POWER CO LTD;1953
IWAMURA MIKIO;1953
LAITRAM LLC;1953
CHENG TAO;1953
SAITO HITOSHI;1952
ZHANG LIWEI;1952
ZHANG JUNHUA;1952
DAIWA CAN CO LTD;1952
CHEN GUO;1951
INTERSIL INC;1951
WILLMS LOTHAR;1950
LI HAILONG;1950
NANDA SANJIV;1950
TEIJIN FIBERS LTD;1950
ZHANG ZHIFENG;1950
TYCO ELECTRONICS AMP GMBH;1950
WOONGJIN COWAY CO LTD;1950
TOSHIBA CHEM CORP;1949
HU JIN;1949
LEE YOUNG DAE;1949
XIAO HONG;1949
MEDIMMUNE LTD;1949
BALDEMAIR ROBERT;1949
SUZUKI HAJIME;1948
AXIS AB;1948
LU LEI;1948
HONGTA TOBACCO GROUP CO LTD;1948
LIN HONG;1947
SULZER AKTIENGESELLSCHAFT GEBR;1947
VENTANA MED SYST INC;1947
SHANGHAI HUAHONG NEC ELECT CO;1947
BIC SOC;1947
XIE YAN;1947
LIU KANG;1946
NAKAMURA MASAHIRO;1946
WU QING;1946
SAIPEM SPA;1946
ZHANG YUHUA;1946
CHEN FAN;1946
BAKER KEVIN P;1946
UNIV MONASH;1945
TAKAHASHI EIZO;1945
WANG WENQING;1945
HU KAI;1944
BIOSENSE WEBSTER INC;1944
AICHI STEEL WORKS LTD;1944
NAKAMURA TOSHIO;1944
GAO PING;1944
ROLAND CORP;1944
TOYO TANSO CO;1944
UCB BIOPHARMA SPRL;1943
ZIMMER INC;1943
LIANG YI;1943
LU GANG;1943
HEBERLEIN & CO AG;1943
UNIV INNER MONGOLIA SCI & TECH;1943
UNIV LOUISIANA STATE;1943
ARACO CORP;1943
AKIMOTO KENGO;1943
CHEN GUOQIANG;1942
CHENG JING;1942
SAKAI AKIRA;1941
TAKAHASHI HIROKI;1941
TAKEDA TAKASHI;1941
LI LIHUA;1941
ZHANG YANYAN;1941
PGS GEOPHYSICAL AS;1941
TOYOMARU IND CO LTD;1940
SDGI HOLDINGS INC;1940
STALEY MFG CO A E;1940
SATO TADASHI;1940
ZHANG XIAOQING;1940
FANG LEI;1940
ZHANG CHUNHUA;1939
ZHONG CHENG;1938
LIU XIANGDONG;1938
KATO NOBORU;1938
GOJO IND INC;1938
ZHU QI;1938
XU XIAOFENG;1938
YAMADA MANABU;1937
CHEN LILI;1937
SANYO SEMICONDUCTOR CO LTD;1937
LIU YONGJUN;1937
YAMAMOTO KOICHI;1936
ACCESS BUSINESS GROUP INT LLC;1936
ZHANG WEIPING;1936
PENTA OCEAN CONSTRUCTION;1936
RENARD PIERRE;1935
LI GE;1935
RUETI AG MASCHF;1935
SITS SOC IT TELECOM SIEMENS;1935
DING YAN;1935
WATANABE TAKAYUKI;1935
ORION CORP;1935
MERIAL LTD;1935
LI DANDAN;1935
KIM YONG JIN;1934
UNIV ARKANSAS;1934
ST ERICSSON SA;1934
HUBER CORP J M;1934
MAGNITOGORSK METALLURG;1934
LI ZHENYU;1934
INST ENG THERMOPHYSICS CAS;1933
LI JIANQIANG;1933
LI WENHUA;1933
KIMURA KOICHI;1933
YAMAMOTO HAJIME;1932
NISSHIN OILLIO GROUP LTD;1932
GLOBUS MEDICAL INC;1932
RES DEV FOUNDATION;1932
ALSTOM;1931
IMMUNOGEN INC;1931
KUBOTA HIROSHI;1931
MARVIN GLASS & ASSOCIATES;1931
LAPIS SEMICONDUCTOR CO LTD;1930
JENOPTIK JENA GMBH;1930
LUCAS ELECTRICAL CO LTD;1930
SHEN GANG;1930
ZHANG WEIMING;1930
ZHANG JIAQIANG;1929
RIGAKU DENKI CO LTD;1929
LEE JONG MIN;1929
ZHU LING;1928
LUO HONG;1928
NOKIA SOLUTIONS AND NETWORKS OY;1928
KANEKO TAKASHI;1928
AGC GLASS EUROPE;1928
YANG WEIDONG;1927
TIMEX CORP;1927
XU YUE;1927
YUAN YONG;1927
RAYTHEON MFG CO;1926
CAMILLE DREYFUS;1926
SHIMIZU MAKOTO;1925
WAN LEI;1925
LEE SEUNGMIN;1924
XIE PENG;1924
CHENG KAI;1924
YUAN CHAO;1924
UPM KYMMENE CORP;1923
ZHANG ZHUO;1923
ZHENG YING;1922
PYE LTD;1922
WAN JUN;1921
NAUTILUS HYOSUNG INC;1921
ZHANG YANLI;1921
XINJIANG BAYI IRON & STEEL CO;1921
UNIV TAIYUAN SCIENCE & TECH;1921
LOCKHEED AIRCRAFT CORP;1920
DONG BIN;1920
YUAN YI;1920
DOCK LARS INGMAR;1920
DING FENG;1920
YAMADA OSAMU;1919
ST MICROELECTRONICS ROUSSET;1919
KIM JONG MIN;1919
LIU YIN;1918
SUZUKI SHIGEO;1918
WANG HONGXING;1918
AAC TECHNOLOGIES SINGAPORE CO LTD;1918
VELSICOL CHEMICAL CORP;1918
XU LING;1918
RUDOLF MARIAN;1917
XIANG YANG;1917
OKUMURA YU KI CO LTD;1917
ZHONG MING;1917
DOWA ELECTRONICS MATERIALS CO;1917
MEMC ELECTRONIC MATERIALS;1917
YAN PENG;1916
SCHUECO INT KG;1916
FU JIE;1916
LI CHUNYAN;1916
NEDERLANDEN STAAT;1916
LUO CHENG;1916
TRUMPF WERKZEUGMASCHINEN GMBH;1915
KAERCHER GMBH & CO KG ALFRED;1915
YU LIN;1915
苹果公司;1915
VIANOVA KUNSTHARZ AG;1915
YAN DONG;1914
KOBAYASHI MASANORI;1914
MA BO;1914
PENG BIN;1914
YOSHIDA SATOSHI;1913
PHISON ELECTRONICS CORP;1913
YANG SHUO;1913
PALANKI RAVI;1913
LI HAIYANG;1913
MCAFEE INC;1912
ENOMOTO HIROSHI;1912
ZHANG JINFENG;1912
ABRAHAM SANTOSH PAUL;1912
MENG WEI;1912
SONG YAN;1912
ZHANG PAN;1912
HUANG ZHIQIANG;1912
ZHANG DANDAN;1912
ZHANG LINA;1911
HAYASHI MASAKI;1911
LI SHAOHUA;1910
FUJII KENJI;1910
BAI WEI;1910
TAKAHASHI JUNICHI;1910
YANG QIN;1910
HE YU;1910
SIEMENS BROTHERS & CO LTD;1909
HAO PENG;1908
ACCENTURE GLOBAL SOLUTIONS LTD;1908
PARK JIN WOO;1908
SCHAEFFLER WAELZLAGER KG;1908
ESCO CORP;1908
KRAFT FOODS GLOBAL BRANDS LLC;1908
TANAKA KENICHI;1907
WANG DANDAN;1907
RICHTEK TECHNOLOGY CORP;1907
WANG JIAO;1907
YE BIN;1906
RAFFINAGE CIE FRANCAISE;1906
DUPONT NUTRITION BIOSCI APS;1906
DONG JIAN;1906
LI YULONG;1906
HE MING;1905
GAO XU;1905
ZHUZHOU TIMES NEW MAT TECH CO;1905
YAN FEI;1904
SATO YUTAKA;1904
UNIV OHIO STATE;1904
DIGIMARC CORP;1904
LING YUN;1904
XU JIANPING;1904
TOPY IND;1903
LUO YING;1903
SAINT GOBAIN CT RECHERCHES;1903
LI MINGHUI;1903
VALEO SYS CONTROLE MOTEUR SAS;1903
XIONG YING;1902
ACRAF;1902
JDS UNIPHASE CORP;1901
YAMASHITA TAKASHI;1901
JIN JUN;1901
CAI HUI;1901
DISCOVISION ASS;1900
MAEDA TAKESHI;1900
ZHANG SHUN;1899
SATO KAZUHIKO;1899
WEI YI;1898
CAMPAGNOLO SRL;1898
NAKAJIMA TAKESHI;1898
LI XINYU;1897
ZHENG MIN;1897
SOLUTIA INC;1897
NAKAMURA SHUJI;1896
NANJING CHERVON IND CO LTD;1896
ZHAO ZHENG;1896
PERINI FABIO SPA;1896
TOTAL MARKETING SERVICES;1895
ZHANG YIMING;1894
MASSEY FERGUSON SERVICES NV;1894
MOBAY CHEMICAL CORP;1894
LU YING;1894
LINDENBERG ROBERT A;1893
UNIV JEFFERSON;1893
SICHUAN COLLEGE ARCHITECTURAL TECHNOLOGY;1893
YULONG COMP TELECOMM SCIENT;1892
HU RONG;1892
ABB TECHNOLOGY LTD;1892
NAKAMURA TAKEHIRO;1892
JIANG YANG;1891
COMMW OF AUSTRALIA;1891
NIPPON CONLUX CO LTD;1891
UNIV IOWA STATE RES FOUND INC;1891
MASPRO DENKO KK;1891
YAO LI;1891
CIENA CORP;1891
LUO QIANG;1890
PARKVALL STEFAN;1890
MORI TAKESHI;1890
CHENG HONG;1890
CHEN XIAOHUI;1890
YIN WEI;1889
HENAN INST ENGINEERING;1889
XIAO HUI;1889
AXCELIS TECH INC;1889
LI WENTAO;1889
MITSUBISHI CHEM HOLDINGS CORP;1889
WANG YA;1889
DYCKERHOFF & WIDMANN AG;1888
YOSHIDA MASATO;1888
SEGA CORP;1888
TAKAHASHI MASASHI;1888
SHENZHEN TCL NEW TECHNOLOGY;1888
AHN JOONKUI;1888
ROKE MANOR RESEARCH;1887
LI XINHUA;1887
WANG YINGYING;1887
LIU XUEFENG;1887
WU NAN;1887
ZHENG KAI;1887
LI ZHANG;1886
FREUDENBERG CARL;1885
DONG HAO;1885
LIU DI;1885
HAN YING;1884
PURDUE PHARMA LP;1884
SPRAGUE ELECTRIC CO;1884
JIANG QI;1884
UNIV WAYNE STATE;1884
YUAN FENG;1884
YU MIN;1884
LS IND SYSTEMS CO LTD;1883
UNIV CHINA MINING & TECHNOLOGY BEIJING;1883
KIM TAE HYUNG;1883
SILICON MOTION INC;1883
LU BO;1883
HAN WOO-JIN;1883
AKTSIONERNOE OBSHCHESTVO ZAKRY;1882
XIE JIAN;1882
UNIV SHENYANG CHEMICAL TECH;1882
WANG XIAOYONG;1881
LI YAJUN;1881
BAYER CROPSCIENCE GMBH;1881
LEI YU;1881
JSR株式会社;1881
WANG YIPING;1880
XU PENGFEI;1880
ISHIKAWA MURIEL Y;1879
TANAKA YUSUKE;1879
LIU ZHIYUAN;1879
WANG ZHIJIAN;1879
TAKAHASHI MASARU;1878
CA INC;1878
GUO HUA;1877
YOSHIDA SHIGERU;1877
SASAKI TORU;1877
ITO MAKOTO;1877
RUBBERMAID INC;1877
YAN YU;1877
DING HAO;1877
PARK SANG HYUN;1876
METAL IND RES & DEV CT;1876
LI YANPING;1875
DING JUN;1875
WESTFAELISCHE METALL INDUSTRIE;1875
NINGBO INST MATERIALS TECH & ENG CAS;1874
WATANABE YASUSHI;1874
YU MING;1874
YAMAGUCHI KOJI;1873
YANG JIANPING;1873
西门子公司;1873
LUO FENG;1873
SUZUKI YOSHINORI;1872
インターナショナル・ビジネス・マシーンズ・コーポレーションＩＮＴＥＲＮＡＴＩＯＮＡＬ ＢＵＳＩＮＥＳＳ ＭＡＣＨＩＮＥＳ ＣＯＲＰＯＲＡＴＩＯＮ;1872
NEOPERL GMBH;1872
TIAN BO;1872
SINFONIA TECHNOLOGY CO LTD;1872
DIEBOLD INC;1872
WU ZHIGANG;1871
MALAMUD MARK A;1871
BASF COATINGS GMBH;1871
HARMAN CO LTD;1871
FOSHAN SHUNDE MIDEA WATER DISPENSER MFG CO LTD;1871
LIGNES TELEGRAPH TELEPHON;1870
GD XINBAO ELEC APPL HOLDINGS;1870
TELEFONICA SA;1870
XUE WEI;1870
HACKER ERWIN;1870
WEI PENG;1870
ZHANG GUOFENG;1867
SUN ZHIQIANG;1867
FOSHAN YUNMI ELECTRICAL APPLIANCE SCIENCE & TECHNOLOGY CO LTD;1867
HERMES PATENTVERWERTUNGS GMBH;1866
LI ZHUO;1865
NISHIMURA AKIRA;1865
LI CHUNHUA;1865
WANG YANYAN;1865
LIU YONGSHENG;1865
LUO PENG;1864
NICHIHA KK;1864
LEE SANG JIN;1864
CHEN JI;1864
MATHUR SAURABH;1864
YAMADA KOICHI;1864
LI CHANG;1864
TAKAHASHI KIYOSHI;1864
FUJI ELEC FA COMPONENTS & SYS;1864
YAMAGUCHI HIROYUKI;1864
KONO KENJI;1864
MUELLER PETER;1864
PLESSEY OVERSEAS;1863
LIU HONGYAN;1863
WEDER DONALD E;1863
UMESH ANIL;1863
FORTSCHRITT VEB K;1863
YAMASHITA HIROYUKI;1862
AOKI TAKESHI;1862
BETEILIGUNGS & PATENTVERW GMBH;1862
LI ZHIPING;1862
OKADA SATOSHI;1862
SCHMIDT MICHAEL;1862
TOHO TITANIUM CO LTD;1862
HAYASHI MASAHIRO;1860
NANTONG XINYING DESIGN SERV CO;1860
SHANGHAI TIANMA MICROELECTRONICS CO LTD;1860
HUANG CHEN;1860
TANAKA SATORU;1859
EDWARDS LTD;1859
LEVIEN ROYCE A;1859
ZHANG XIAOGANG;1859
HAYASHI TAKASHI;1859
DYSTAR TEXTILFARBEN GMBH & CO;1858
WANG XIAOBIN;1858
SONY COMP ENTERTAINMENT INC;1858
PENG JING;1858
NAKAMURA MASAYUKI;1858
LIU XIAOLIN;1857
AESCULAP AG & CO KG;1856
YUAN JIAN;1856
WANG YONGHONG;1856
ZHANG LIANGLIANG;1856
SIEMENS VAI METALS TECH GMBH;1855
AFTON CHEMICAL CORP;1854
TRIMBLE NAVIGATION LTD;1854
KARMANN GMBH W;1854
BELOIT TECHNOLOGIES INC;1854
TRANSGENE SA;1854
LI JUNWEI;1854
CHEN JIANMIN;1854
NAKAMURA TATSUYA;1853
WU SONG;1853
HUANG ZHIYONG;1853
HU LIN;1853
ROTO FRANK AG;1852
SUZUKI HIDEYUKI;1851
TANAKA YUTAKA;1851
CHARTERED SEMICONDUCTOR MFG;1850
SATO YOSHIAKI;1850
KOBAYASHI KAZUHIRO;1850
HE CHANGMING;1850
TAKAHASHI YUKIO;1849
SHENYANG INST AUTOMATION;1849
LI XUN;1849
WALTER HARALD;1849
STATE GRID HUNAN ELECTRIC POWER CO;1849
INST CERCETARE SI PROIECTARE T;1849
LEGRAND FRANCE;1849
NOMURA RES INST LTD;1849
CHEN XUAN;1848
MA LONG;1848
ISHII KENJI;1848
SUN KE;1848
WATANABE MINORU;1847
UNIV NAGOYA NAT UNIV CORP;1847
WANG ZHIBIN;1847
TAKAO CO LTD;1847
TIAN JIE;1847
UNIV HOKKAIDO;1847
LIU JINLONG;1845
HARTMANN PAUL AG;1845
JIN JIE;1845
BAI YUN;1845
ANDO TAKASHI;1844
YUAN SHUAI;1844
WEI TAO;1844
MUTOH IND LTD;1844
INVENTEC PUDONG TECHNOLOGY CORP;1844
XUZHOU INST TECHNOLOGY;1843
LI DONGMING;1843
EAST CHINA INST TECHNOLOGY;1843
INOUE KENJI;1843
YANG ZHOU;1842
CHENG YU;1842
WU WEIDONG;1842
KATO MASAYUKI;1842
KIM JI HOON;1841
DENG JIE;1841
BOSCH ROBERT AG;1841
FENG YONG;1840
RHEINMETALL WAFFE MUNITION;1840
SHEN LEI;1840
KANAI HIROYUKI;1840
THOMPSON PROD INC;1840
KITAGAWA IND CO LTD;1840
HUNTER DOUGLAS IND BV;1840
ALMIRALL SA;1840
TEXAS INSTRUMENTS DEUTSCHLAND;1839
XU XU;1839
AMERICAN AIR FILTER CO;1839
NIELSEN CO US LLC;1839
MIYAZAKI TAKESHI;1839
SMIDTH AS F L;1838
ROHM KK;1838
TOKAI CARBON KK;1838
MATSUI HIROSHI;1837
SHUNDA COMP FACTORY CO LTD;1837
DAIKEN TRADE & INDUSTRY;1837
AGFA GRAPHICS NV;1837
HOECHST SCHERING AGREVO GMBH;1837
MUELLER WOLFGANG;1837
MCC CAPITAL ENG & RES INC LTD;1837
CHINA SOUTHERN POWER GRID CO;1837
BERSTORFF GMBH MASCH HERMANN;1837
SUZUKI YOSHIAKI;1837
LI XIAOGUANG;1836
YAN YONG;1836
YAMAMOTO KAZUO;1835
UNIV LIAONING TECHNOLOGY;1835
STORAGE TECHNOLOGY CORP;1835
MAGNA INT INC;1835
YAMAMOTO TAKAYUKI;1835
ROHTO PHARMA;1835
WANG HAIMING;1835
CHEN WU;1834
GOTO TAKASHI;1834
MOLEX LLC;1834
LIN PING;1833
WANG CHANG;1833
NAKAMURA SHIGERU;1833
NAT UNIV TSING HUA;1832
KISHIYAMA YOSHIHISA;1832
SAKATA JUNICHIRO;1832
CHENG BO;1831
ASSIST PUBL HOPITAUX DE PARIS;1831
YOSHIDA ATSUSHI;1831
ISHII AKIRA;1831
SHIBATA HIROSHI;1830
CAI BIN;1830
BOSCH REXROTH AG;1830
HOU WEI;1830
LI YUANJING;1829
RACK MICHAEL;1829
LEE DONG HUN;1828
NAT UNIV DONG HWA;1828
GASTAR CORP;1828
SHANGHAI INST CERAMICS;1828
DENNISON MFG CO;1828
RECKITT & COLMANN PROD LTD;1828
ZHANG BAO;1827
SUZUKI NORIO;1827
WILKINSON SWORD LTD;1826
